atlas_id,roi_uid,roi_original_index,global_original_column,roi_name,roi_label,description,hemisphere,network,x,y,z,metadata_source,metadata_version,metadata_license,metadata_sha256
Dosenbach160,dosenbach160:roi001,1,1409,vmPFC,1,,R,default,6.0,64.0,3.0,dpabi/Dosenbach_Science_160ROIs_Info.mat,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,13a21a38552a857b7602dd924533b46df666d908f569eb76bcc8b5d0febd56af
Dosenbach160,dosenbach160:roi002,2,1410,aPFC,2,,R,fronto-parietal,29.0,57.0,18.0,dpabi/Dosenbach_Science_160ROIs_Info.mat,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,13a21a38552a857b7602dd924533b46df666d908f569eb76bcc8b5d0febd56af
Dosenbach160,dosenbach160:roi003,3,1411,aPFC,3,,L,fronto-parietal,-29.0,57.0,10.0,dpabi/Dosenbach_Science_160ROIs_Info.mat,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,13a21a38552a857b7602dd924533b46df666d908f569eb76bcc8b5d0febd56af
Dosenbach160,dosenbach160:roi004,4,1412,mPFC,4,,M,default,0.0,51.0,32.0,dpabi/Dosenbach_Science_160ROIs_Info.mat,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,13a21a38552a857b7602dd924533b46df666d908f569eb76bcc8b5d0febd56af
Dosenbach160,dosenbach160:roi005,5,1413,aPFC,5,,L,default,-25.0,51.0,27.0,dpabi/Dosenbach_Science_160ROIs_Info.mat,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,13a21a38552a857b7602dd924533b46df666d908f569eb76bcc8b5d0febd56af
Dosenbach160,dosenbach160:roi006,6,1414,vmPFC,6,,R,default,9.0,51.0,16.0,dpabi/Dosenbach_Science_160ROIs_Info.mat,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,13a21a38552a857b7602dd924533b46df666d908f569eb76bcc8b5d0febd56af
Dosenbach160,dosenbach160:roi007,7,1415,vmPFC,7,,L,default,-6.0,50.0,-1.0,dpabi/Dosenbach_Science_160ROIs_Info.mat,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,13a21a38552a857b7602dd924533b46df666d908f569eb76bcc8b5d0febd56af
Dosenbach160,dosenbach160:roi008,8,1416,aPFC,8,,R,cingulo-opercular,27.0,49.0,26.0,dpabi/Dosenbach_Science_160ROIs_Info.mat,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,13a21a38552a857b7602dd924533b46df666d908f569eb76bcc8b5d0febd56af
Dosenbach160,dosenbach160:roi009,9,1417,vent aPFC,9,,R,fronto-parietal,42.0,48.0,-3.0,dpabi/Dosenbach_Science_160ROIs_Info.mat,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,13a21a38552a857b7602dd924533b46df666d908f569eb76bcc8b5d0febd56af
Dosenbach160,dosenbach160:roi010,10,1418,vent aPFC,10,,L,fronto-parietal,-43.0,47.0,2.0,dpabi/Dosenbach_Science_160ROIs_Info.mat,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,13a21a38552a857b7602dd924533b46df666d908f569eb76bcc8b5d0febd56af
