atlas_id,roi_uid,roi_original_index,global_original_column,roi_name,roi_label,description,hemisphere,network,x,y,z,metadata_source,metadata_version,metadata_license,metadata_sha256
HO112,ho112:roi001,1,117,Frontal Pole (L),10,cortical,L,,-24.954255771137227,52.99589293301233,7.5360430533918645,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi002,2,118,Frontal Pole (R),11,cortical,R,,26.294533918984868,52.13836017569545,8.305270863836014,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi003,3,119,Insular Cortex (L),20,cortical,L,,-36.70517241379309,1.4431034482758491,-0.17241379310344485,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi004,4,120,Insular Cortex (R),21,cortical,R,,37.56477561388654,2.574089754445396,-0.3251481795088864,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi005,5,121,Superior Frontal Gyrus (L),30,cortical,L,,-14.193853427895988,18.792750197005518,56.64223798266352,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi006,6,122,Superior Frontal Gyrus (R),31,cortical,R,,14.655887230514097,18.877280265339976,57.12437810945275,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi007,7,123,Middle Frontal Gyrus (L),40,cortical,L,,-38.32087114337568,18.58511796733211,42.339019963702356,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi008,8,124,Middle Frontal Gyrus (R),41,cortical,R,,39.36977743069114,18.76298320968371,43.03319016009371,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi009,9,125,"Inferior Frontal Gyrus, pars triangularis (L)",50,cortical,L,,-49.99341021416805,28.57001647446458,8.803953871499175,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi010,10,126,"Inferior Frontal Gyrus, pars triangularis (R)",51,cortical,R,,52.310483870967744,28.0,7.762096774193552,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi011,11,127,"Inferior Frontal Gyrus, pars opercularis (L)",60,cortical,L,,-50.92729766803842,14.751714677640592,15.31138545953361,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
HO112,ho112:roi012,12,128,"Inferior Frontal Gyrus, pars opercularis (R)",61,cortical,R,,52.40610687022901,15.47786259541985,16.149618320610685,ho112_verified_local/ho112_dpabi_labels.csv,DPABI tree 8d4b16e46be65cce93662e34e1cfa22bd40d98dc,LGPL-2.1; redistributed atlas files retain original citations,9b8780032f6fc5b40a784a7aff91988978409e0521c20f0dcc1161b1bbecd077
