atlas_id,edge_uid,roi_uid_i,roi_uid_j,roi_original_index_i,roi_original_index_j,global_original_column_i,global_original_column_j
AAL116,aal116:roi001--roi002,aal116:roi001,aal116:roi002,1,2,1,2
AAL116,aal116:roi001--roi003,aal116:roi001,aal116:roi003,1,3,1,3
AAL116,aal116:roi001--roi004,aal116:roi001,aal116:roi004,1,4,1,4
AAL116,aal116:roi001--roi005,aal116:roi001,aal116:roi005,1,5,1,5
AAL116,aal116:roi001--roi006,aal116:roi001,aal116:roi006,1,6,1,6
AAL116,aal116:roi001--roi007,aal116:roi001,aal116:roi007,1,7,1,7
AAL116,aal116:roi001--roi008,aal116:roi001,aal116:roi008,1,8,1,8
AAL116,aal116:roi001--roi009,aal116:roi001,aal116:roi009,1,9,1,9
AAL116,aal116:roi001--roi010,aal116:roi001,aal116:roi010,1,10,1,10
AAL116,aal116:roi001--roi011,aal116:roi001,aal116:roi011,1,11,1,11
AAL116,aal116:roi001--roi012,aal116:roi001,aal116:roi012,1,12,1,12
AAL116,aal116:roi001--roi013,aal116:roi001,aal116:roi013,1,13,1,13
AAL116,aal116:roi001--roi014,aal116:roi001,aal116:roi014,1,14,1,14
AAL116,aal116:roi001--roi015,aal116:roi001,aal116:roi015,1,15,1,15
AAL116,aal116:roi001--roi016,aal116:roi001,aal116:roi016,1,16,1,16
AAL116,aal116:roi001--roi017,aal116:roi001,aal116:roi017,1,17,1,17
AAL116,aal116:roi001--roi018,aal116:roi001,aal116:roi018,1,18,1,18
AAL116,aal116:roi001--roi019,aal116:roi001,aal116:roi019,1,19,1,19
AAL116,aal116:roi001--roi020,aal116:roi001,aal116:roi020,1,20,1,20
AAL116,aal116:roi001--roi021,aal116:roi001,aal116:roi021,1,21,1,21
AAL116,aal116:roi001--roi022,aal116:roi001,aal116:roi022,1,22,1,22
AAL116,aal116:roi001--roi023,aal116:roi001,aal116:roi023,1,23,1,23
AAL116,aal116:roi001--roi024,aal116:roi001,aal116:roi024,1,24,1,24
AAL116,aal116:roi001--roi025,aal116:roi001,aal116:roi025,1,25,1,25
AAL116,aal116:roi001--roi026,aal116:roi001,aal116:roi026,1,26,1,26
AAL116,aal116:roi001--roi027,aal116:roi001,aal116:roi027,1,27,1,27
AAL116,aal116:roi001--roi028,aal116:roi001,aal116:roi028,1,28,1,28
AAL116,aal116:roi001--roi029,aal116:roi001,aal116:roi029,1,29,1,29
AAL116,aal116:roi001--roi030,aal116:roi001,aal116:roi030,1,30,1,30
AAL116,aal116:roi001--roi031,aal116:roi001,aal116:roi031,1,31,1,31
AAL116,aal116:roi001--roi032,aal116:roi001,aal116:roi032,1,32,1,32
AAL116,aal116:roi001--roi033,aal116:roi001,aal116:roi033,1,33,1,33
AAL116,aal116:roi001--roi034,aal116:roi001,aal116:roi034,1,34,1,34
AAL116,aal116:roi001--roi035,aal116:roi001,aal116:roi035,1,35,1,35
AAL116,aal116:roi001--roi036,aal116:roi001,aal116:roi036,1,36,1,36
AAL116,aal116:roi001--roi037,aal116:roi001,aal116:roi037,1,37,1,37
AAL116,aal116:roi001--roi038,aal116:roi001,aal116:roi038,1,38,1,38
AAL116,aal116:roi001--roi039,aal116:roi001,aal116:roi039,1,39,1,39
AAL116,aal116:roi001--roi040,aal116:roi001,aal116:roi040,1,40,1,40
