atlas_id,edge_uid,roi_uid_i,roi_uid_j,roi_original_index_i,roi_original_index_j,global_original_column_i,global_original_column_j
CC200,cc200:roi001--roi002,cc200:roi001,cc200:roi002,1,2,229,230
CC200,cc200:roi001--roi003,cc200:roi001,cc200:roi003,1,3,229,231
CC200,cc200:roi001--roi004,cc200:roi001,cc200:roi004,1,4,229,232
CC200,cc200:roi001--roi005,cc200:roi001,cc200:roi005,1,5,229,233
CC200,cc200:roi001--roi006,cc200:roi001,cc200:roi006,1,6,229,234
CC200,cc200:roi001--roi007,cc200:roi001,cc200:roi007,1,7,229,235
CC200,cc200:roi001--roi008,cc200:roi001,cc200:roi008,1,8,229,236
CC200,cc200:roi001--roi009,cc200:roi001,cc200:roi009,1,9,229,237
CC200,cc200:roi001--roi010,cc200:roi001,cc200:roi010,1,10,229,238
CC200,cc200:roi001--roi011,cc200:roi001,cc200:roi011,1,11,229,239
CC200,cc200:roi001--roi012,cc200:roi001,cc200:roi012,1,12,229,240
CC200,cc200:roi001--roi013,cc200:roi001,cc200:roi013,1,13,229,241
CC200,cc200:roi001--roi014,cc200:roi001,cc200:roi014,1,14,229,242
CC200,cc200:roi001--roi015,cc200:roi001,cc200:roi015,1,15,229,243
CC200,cc200:roi001--roi016,cc200:roi001,cc200:roi016,1,16,229,244
CC200,cc200:roi001--roi017,cc200:roi001,cc200:roi017,1,17,229,245
CC200,cc200:roi001--roi018,cc200:roi001,cc200:roi018,1,18,229,246
CC200,cc200:roi001--roi019,cc200:roi001,cc200:roi019,1,19,229,247
CC200,cc200:roi001--roi020,cc200:roi001,cc200:roi020,1,20,229,248
CC200,cc200:roi001--roi021,cc200:roi001,cc200:roi021,1,21,229,249
CC200,cc200:roi001--roi022,cc200:roi001,cc200:roi022,1,22,229,250
CC200,cc200:roi001--roi023,cc200:roi001,cc200:roi023,1,23,229,251
CC200,cc200:roi001--roi024,cc200:roi001,cc200:roi024,1,24,229,252
CC200,cc200:roi001--roi025,cc200:roi001,cc200:roi025,1,25,229,253
CC200,cc200:roi001--roi026,cc200:roi001,cc200:roi026,1,26,229,254
CC200,cc200:roi001--roi027,cc200:roi001,cc200:roi027,1,27,229,255
CC200,cc200:roi001--roi028,cc200:roi001,cc200:roi028,1,28,229,256
CC200,cc200:roi001--roi029,cc200:roi001,cc200:roi029,1,29,229,257
CC200,cc200:roi001--roi030,cc200:roi001,cc200:roi030,1,30,229,258
CC200,cc200:roi001--roi031,cc200:roi001,cc200:roi031,1,31,229,259
CC200,cc200:roi001--roi032,cc200:roi001,cc200:roi032,1,32,229,260
CC200,cc200:roi001--roi033,cc200:roi001,cc200:roi033,1,33,229,261
CC200,cc200:roi001--roi034,cc200:roi001,cc200:roi034,1,34,229,262
