atlas_id,edge_uid,roi_uid_i,roi_uid_j,roi_original_index_i,roi_original_index_j,global_original_column_i,global_original_column_j
Dosenbach160,dosenbach160:roi001--roi002,dosenbach160:roi001,dosenbach160:roi002,1,2,1409,1410
Dosenbach160,dosenbach160:roi001--roi003,dosenbach160:roi001,dosenbach160:roi003,1,3,1409,1411
Dosenbach160,dosenbach160:roi001--roi004,dosenbach160:roi001,dosenbach160:roi004,1,4,1409,1412
Dosenbach160,dosenbach160:roi001--roi005,dosenbach160:roi001,dosenbach160:roi005,1,5,1409,1413
Dosenbach160,dosenbach160:roi001--roi006,dosenbach160:roi001,dosenbach160:roi006,1,6,1409,1414
Dosenbach160,dosenbach160:roi001--roi007,dosenbach160:roi001,dosenbach160:roi007,1,7,1409,1415
Dosenbach160,dosenbach160:roi001--roi008,dosenbach160:roi001,dosenbach160:roi008,1,8,1409,1416
Dosenbach160,dosenbach160:roi001--roi009,dosenbach160:roi001,dosenbach160:roi009,1,9,1409,1417
Dosenbach160,dosenbach160:roi001--roi010,dosenbach160:roi001,dosenbach160:roi010,1,10,1409,1418
Dosenbach160,dosenbach160:roi001--roi011,dosenbach160:roi001,dosenbach160:roi011,1,11,1409,1419
Dosenbach160,dosenbach160:roi001--roi012,dosenbach160:roi001,dosenbach160:roi012,1,12,1409,1420
Dosenbach160,dosenbach160:roi001--roi013,dosenbach160:roi001,dosenbach160:roi013,1,13,1409,1421
Dosenbach160,dosenbach160:roi001--roi014,dosenbach160:roi001,dosenbach160:roi014,1,14,1409,1422
Dosenbach160,dosenbach160:roi001--roi015,dosenbach160:roi001,dosenbach160:roi015,1,15,1409,1423
Dosenbach160,dosenbach160:roi001--roi016,dosenbach160:roi001,dosenbach160:roi016,1,16,1409,1424
Dosenbach160,dosenbach160:roi001--roi017,dosenbach160:roi001,dosenbach160:roi017,1,17,1409,1425
Dosenbach160,dosenbach160:roi001--roi018,dosenbach160:roi001,dosenbach160:roi018,1,18,1409,1426
Dosenbach160,dosenbach160:roi001--roi019,dosenbach160:roi001,dosenbach160:roi019,1,19,1409,1427
Dosenbach160,dosenbach160:roi001--roi020,dosenbach160:roi001,dosenbach160:roi020,1,20,1409,1428
Dosenbach160,dosenbach160:roi001--roi021,dosenbach160:roi001,dosenbach160:roi021,1,21,1409,1429
Dosenbach160,dosenbach160:roi001--roi022,dosenbach160:roi001,dosenbach160:roi022,1,22,1409,1430
Dosenbach160,dosenbach160:roi001--roi023,dosenbach160:roi001,dosenbach160:roi023,1,23,1409,1431
Dosenbach160,dosenbach160:roi001--roi024,dosenbach160:roi001,dosenbach160:roi024,1,24,1409,1432
Dosenbach160,dosenbach160:roi001--roi025,dosenbach160:roi001,dosenbach160:roi025,1,25,1409,1433
Dosenbach160,dosenbach160:roi001--roi026,dosenbach160:roi001,dosenbach160:roi026,1,26,1409,1434
Dosenbach160,dosenbach160:roi001--roi027,dosenbach160:roi001,dosenbach160:roi027,1,27,1409,1435
Dosenbach160,dosenbach160:roi001--roi028,dosenbach160:roi001,dosenbach160:roi028,1,28,1409,1436
Dosenbach160,dosenbach160:roi001--roi029,dosenbach160:roi001,dosenbach160:roi029,1,29,1409,1437
Dosenbach160,dosenbach160:roi001--roi030,dosenbach160:roi001,dosenbach160:roi030,1,30,1409,1438
Dosenbach160,dosenbach160:roi001--roi031,dosenbach160:roi001,dosenbach160:roi031,1,31,1409,1439
Dosenbach160,dosenbach160:roi001--roi032,dosenbach160:roi001,dosenbach160:roi032,1,32,1409,1440
Dosenbach160,dosenbach160:roi001--roi033,dosenbach160:roi001,dosenbach160:roi033,1,33,1409,1441
Dosenbach160,dosenbach160:roi001--roi034,dosenbach160:roi001,dosenbach160:roi034,1,34,1409,1442
