atlas_id,edge_uid,roi_uid_i,roi_uid_j,roi_original_index_i,roi_original_index_j,global_original_column_i,global_original_column_j
HO112,ho112:roi001--roi002,ho112:roi001,ho112:roi002,1,2,117,118
HO112,ho112:roi001--roi003,ho112:roi001,ho112:roi003,1,3,117,119
HO112,ho112:roi001--roi004,ho112:roi001,ho112:roi004,1,4,117,120
HO112,ho112:roi001--roi005,ho112:roi001,ho112:roi005,1,5,117,121
HO112,ho112:roi001--roi006,ho112:roi001,ho112:roi006,1,6,117,122
HO112,ho112:roi001--roi007,ho112:roi001,ho112:roi007,1,7,117,123
HO112,ho112:roi001--roi008,ho112:roi001,ho112:roi008,1,8,117,124
HO112,ho112:roi001--roi009,ho112:roi001,ho112:roi009,1,9,117,125
HO112,ho112:roi001--roi010,ho112:roi001,ho112:roi010,1,10,117,126
HO112,ho112:roi001--roi011,ho112:roi001,ho112:roi011,1,11,117,127
HO112,ho112:roi001--roi012,ho112:roi001,ho112:roi012,1,12,117,128
HO112,ho112:roi001--roi013,ho112:roi001,ho112:roi013,1,13,117,129
HO112,ho112:roi001--roi014,ho112:roi001,ho112:roi014,1,14,117,130
HO112,ho112:roi001--roi015,ho112:roi001,ho112:roi015,1,15,117,131
HO112,ho112:roi001--roi016,ho112:roi001,ho112:roi016,1,16,117,132
HO112,ho112:roi001--roi017,ho112:roi001,ho112:roi017,1,17,117,133
HO112,ho112:roi001--roi018,ho112:roi001,ho112:roi018,1,18,117,134
HO112,ho112:roi001--roi019,ho112:roi001,ho112:roi019,1,19,117,135
HO112,ho112:roi001--roi020,ho112:roi001,ho112:roi020,1,20,117,136
HO112,ho112:roi001--roi021,ho112:roi001,ho112:roi021,1,21,117,137
HO112,ho112:roi001--roi022,ho112:roi001,ho112:roi022,1,22,117,138
HO112,ho112:roi001--roi023,ho112:roi001,ho112:roi023,1,23,117,139
HO112,ho112:roi001--roi024,ho112:roi001,ho112:roi024,1,24,117,140
HO112,ho112:roi001--roi025,ho112:roi001,ho112:roi025,1,25,117,141
HO112,ho112:roi001--roi026,ho112:roi001,ho112:roi026,1,26,117,142
HO112,ho112:roi001--roi027,ho112:roi001,ho112:roi027,1,27,117,143
HO112,ho112:roi001--roi028,ho112:roi001,ho112:roi028,1,28,117,144
HO112,ho112:roi001--roi029,ho112:roi001,ho112:roi029,1,29,117,145
HO112,ho112:roi001--roi030,ho112:roi001,ho112:roi030,1,30,117,146
HO112,ho112:roi001--roi031,ho112:roi001,ho112:roi031,1,31,117,147
HO112,ho112:roi001--roi032,ho112:roi001,ho112:roi032,1,32,117,148
HO112,ho112:roi001--roi033,ho112:roi001,ho112:roi033,1,33,117,149
HO112,ho112:roi001--roi034,ho112:roi001,ho112:roi034,1,34,117,150
HO112,ho112:roi001--roi035,ho112:roi001,ho112:roi035,1,35,117,151
HO112,ho112:roi001--roi036,ho112:roi001,ho112:roi036,1,36,117,152
HO112,ho112:roi001--roi037,ho112:roi001,ho112:roi037,1,37,117,153
HO112,ho112:roi001--roi038,ho112:roi001,ho112:roi038,1,38,117,154
HO112,ho112:roi001--roi039,ho112:roi001,ho112:roi039,1,39,117,155
HO112,ho112:roi001--roi040,ho112:roi001,ho112:roi040,1,40,117,156
HO112,ho112:roi001--roi041,ho112:roi001,ho112:roi041,1,41,117,157
HO112,ho112:roi001--roi042,ho112:roi001,ho112:roi042,1,42,117,158
HO112,ho112:roi001--roi043,ho112:roi001,ho112:roi043,1,43,117,159
HO112,ho112:roi001--roi044,ho112:roi001,ho112:roi044,1,44,117,160
HO112,ho112:roi001--roi045,ho112:roi001,ho112:roi045,1,45,117,161
HO112,ho112:roi001--roi046,ho112:roi001,ho112:roi046,1,46,117,162
HO112,ho112:roi001--roi047,ho112:roi001,ho112:roi047,1,47,117,163
HO112,ho112:roi001--roi048,ho112:roi001,ho112:roi048,1,48,117,164
HO112,ho112:roi001--roi049,ho112:roi001,ho112:roi049,1,49,117,165
HO112,ho112:roi001--roi050,ho112:roi001,ho112:roi050,1,50,117,166
HO112,ho112:roi001--roi051,ho112:roi001,ho112:roi051,1,51,117,167
HO112,ho112:roi001--roi052,ho112:roi001,ho112:roi052,1,52,117,168
HO112,ho112:roi001--roi053,ho112:roi001,ho112:roi053,1,53,117,169
HO112,ho112:roi001--roi054,ho112:roi001,ho112:roi054,1,54,117,170
HO112,ho112:roi001--roi055,ho112:roi001,ho112:roi055,1,55,117,171
HO112,ho112:roi001--roi056,ho112:roi001,ho112:roi056,1,56,117,172
HO112,ho112:roi001--roi057,ho112:roi001,ho112:roi057,1,57,117,173
HO112,ho112:roi001--roi058,ho112:roi001,ho112:roi058,1,58,117,174
HO112,ho112:roi001--roi059,ho112:roi001,ho112:roi059,1,59,117,175
HO112,ho112:roi001--roi060,ho112:roi001,ho112:roi060,1,60,117,176
HO112,ho112:roi001--roi061,ho112:roi001,ho112:roi061,1,61,117,177
HO112,ho112:roi001--roi062,ho112:roi001,ho112:roi062,1,62,117,178
HO112,ho112:roi001--roi063,ho112:roi001,ho112:roi063,1,63,117,179
HO112,ho112:roi001--roi064,ho112:roi001,ho112:roi064,1,64,117,180
HO112,ho112:roi001--roi065,ho112:roi001,ho112:roi065,1,65,117,181
HO112,ho112:roi001--roi066,ho112:roi001,ho112:roi066,1,66,117,182
HO112,ho112:roi001--roi067,ho112:roi001,ho112:roi067,1,67,117,183
HO112,ho112:roi001--roi068,ho112:roi001,ho112:roi068,1,68,117,184
HO112,ho112:roi001--roi069,ho112:roi001,ho112:roi069,1,69,117,185
HO112,ho112:roi001--roi070,ho112:roi001,ho112:roi070,1,70,117,186
HO112,ho112:roi001--roi071,ho112:roi001,ho112:roi071,1,71,117,187
HO112,ho112:roi001--roi072,ho112:roi001,ho112:roi072,1,72,117,188
HO112,ho112:roi001--roi073,ho112:roi001,ho112:roi073,1,73,117,189
HO112,ho112:roi001--roi074,ho112:roi001,ho112:roi074,1,74,117,190
HO112,ho112:roi001--roi075,ho112:roi001,ho112:roi075,1,75,117,191
HO112,ho112:roi001--roi076,ho112:roi001,ho112:roi076,1,76,117,192
HO112,ho112:roi001--roi077,ho112:roi001,ho112:roi077,1,77,117,193
HO112,ho112:roi001--roi078,ho112:roi001,ho112:roi078,1,78,117,194
HO112,ho112:roi001--roi079,ho112:roi001,ho112:roi079,1,79,117,195
HO112,ho112:roi001--roi080,ho112:roi001,ho112:roi080,1,80,117,196
HO112,ho112:roi001--roi081,ho112:roi001,ho112:roi081,1,81,117,197
HO112,ho112:roi001--roi082,ho112:roi001,ho112:roi082,1,82,117,198
HO112,ho112:roi001--roi083,ho112:roi001,ho112:roi083,1,83,117,199
HO112,ho112:roi001--roi084,ho112:roi001,ho112:roi084,1,84,117,200
HO112,ho112:roi001--roi085,ho112:roi001,ho112:roi085,1,85,117,201
HO112,ho112:roi001--roi086,ho112:roi001,ho112:roi086,1,86,117,202
HO112,ho112:roi001--roi087,ho112:roi001,ho112:roi087,1,87,117,203
HO112,ho112:roi001--roi088,ho112:roi001,ho112:roi088,1,88,117,204
HO112,ho112:roi001--roi089,ho112:roi001,ho112:roi089,1,89,117,205
HO112,ho112:roi001--roi090,ho112:roi001,ho112:roi090,1,90,117,206
HO112,ho112:roi001--roi091,ho112:roi001,ho112:roi091,1,91,117,207
HO112,ho112:roi001--roi092,ho112:roi001,ho112:roi092,1,92,117,208
HO112,ho112:roi001--roi093,ho112:roi001,ho112:roi093,1,93,117,209
HO112,ho112:roi001--roi094,ho112:roi001,ho112:roi094,1,94,117,210
HO112,ho112:roi001--roi095,ho112:roi001,ho112:roi095,1,95,117,211
HO112,ho112:roi001--roi096,ho112:roi001,ho112:roi096,1,96,117,212
HO112,ho112:roi001--roi097,ho112:roi001,ho112:roi097,1,97,117,213
HO112,ho112:roi001--roi098,ho112:roi001,ho112:roi098,1,98,117,214
HO112,ho112:roi001--roi099,ho112:roi001,ho112:roi099,1,99,117,215
HO112,ho112:roi001--roi100,ho112:roi001,ho112:roi100,1,100,117,216
HO112,ho112:roi001--roi101,ho112:roi001,ho112:roi101,1,101,117,217
HO112,ho112:roi001--roi102,ho112:roi001,ho112:roi102,1,102,117,218
HO112,ho112:roi001--roi103,ho112:roi001,ho112:roi103,1,103,117,219
HO112,ho112:roi001--roi104,ho112:roi001,ho112:roi104,1,104,117,220
HO112,ho112:roi001--roi105,ho112:roi001,ho112:roi105,1,105,117,221
HO112,ho112:roi001--roi106,ho112:roi001,ho112:roi106,1,106,117,222
HO112,ho112:roi001--roi107,ho112:roi001,ho112:roi107,1,107,117,223
HO112,ho112:roi001--roi108,ho112:roi001,ho112:roi108,1,108,117,224
HO112,ho112:roi001--roi109,ho112:roi001,ho112:roi109,1,109,117,225
HO112,ho112:roi001--roi110,ho112:roi001,ho112:roi110,1,110,117,226
HO112,ho112:roi001--roi111,ho112:roi001,ho112:roi111,1,111,117,227
HO112,ho112:roi001--roi112,ho112:roi001,ho112:roi112,1,112,117,228
HO112,ho112:roi002--roi003,ho112:roi002,ho112:roi003,2,3,118,119
HO112,ho112:roi002--roi004,ho112:roi002,ho112:roi004,2,4,118,120
HO112,ho112:roi002--roi005,ho112:roi002,ho112:roi005,2,5,118,121
HO112,ho112:roi002--roi006,ho112:roi002,ho112:roi006,2,6,118,122
HO112,ho112:roi002--roi007,ho112:roi002,ho112:roi007,2,7,118,123
HO112,ho112:roi002--roi008,ho112:roi002,ho112:roi008,2,8,118,124
HO112,ho112:roi002--roi009,ho112:roi002,ho112:roi009,2,9,118,125
HO112,ho112:roi002--roi010,ho112:roi002,ho112:roi010,2,10,118,126
HO112,ho112:roi002--roi011,ho112:roi002,ho112:roi011,2,11,118,127
HO112,ho112:roi002--roi012,ho112:roi002,ho112:roi012,2,12,118,128
HO112,ho112:roi002--roi013,ho112:roi002,ho112:roi013,2,13,118,129
HO112,ho112:roi002--roi014,ho112:roi002,ho112:roi014,2,14,118,130
HO112,ho112:roi002--roi015,ho112:roi002,ho112:roi015,2,15,118,131
HO112,ho112:roi002--roi016,ho112:roi002,ho112:roi016,2,16,118,132
HO112,ho112:roi002--roi017,ho112:roi002,ho112:roi017,2,17,118,133
HO112,ho112:roi002--roi018,ho112:roi002,ho112:roi018,2,18,118,134
HO112,ho112:roi002--roi019,ho112:roi002,ho112:roi019,2,19,118,135
HO112,ho112:roi002--roi020,ho112:roi002,ho112:roi020,2,20,118,136
HO112,ho112:roi002--roi021,ho112:roi002,ho112:roi021,2,21,118,137
HO112,ho112:roi002--roi022,ho112:roi002,ho112:roi022,2,22,118,138
HO112,ho112:roi002--roi023,ho112:roi002,ho112:roi023,2,23,118,139
HO112,ho112:roi002--roi024,ho112:roi002,ho112:roi024,2,24,118,140
HO112,ho112:roi002--roi025,ho112:roi002,ho112:roi025,2,25,118,141
HO112,ho112:roi002--roi026,ho112:roi002,ho112:roi026,2,26,118,142
HO112,ho112:roi002--roi027,ho112:roi002,ho112:roi027,2,27,118,143
HO112,ho112:roi002--roi028,ho112:roi002,ho112:roi028,2,28,118,144
HO112,ho112:roi002--roi029,ho112:roi002,ho112:roi029,2,29,118,145
HO112,ho112:roi002--roi030,ho112:roi002,ho112:roi030,2,30,118,146
HO112,ho112:roi002--roi031,ho112:roi002,ho112:roi031,2,31,118,147
HO112,ho112:roi002--roi032,ho112:roi002,ho112:roi032,2,32,118,148
HO112,ho112:roi002--roi033,ho112:roi002,ho112:roi033,2,33,118,149
HO112,ho112:roi002--roi034,ho112:roi002,ho112:roi034,2,34,118,150
HO112,ho112:roi002--roi035,ho112:roi002,ho112:roi035,2,35,118,151
HO112,ho112:roi002--roi036,ho112:roi002,ho112:roi036,2,36,118,152
HO112,ho112:roi002--roi037,ho112:roi002,ho112:roi037,2,37,118,153
HO112,ho112:roi002--roi038,ho112:roi002,ho112:roi038,2,38,118,154
HO112,ho112:roi002--roi039,ho112:roi002,ho112:roi039,2,39,118,155
HO112,ho112:roi002--roi040,ho112:roi002,ho112:roi040,2,40,118,156
